occupation,count,category
ADJUNCT PROFESSOR,21,FACULTY
ADJ. PROFESSOR,1,FACULTY
ADJUNCT PROF ECONOMICS,1,FACULTY
ADJUNCT ASSISTANT PROFESSOR,2,FACULTY
ADJUNCT FACULTY,1,FACULTY
ASSISTANT PROFESSOR,7,FACULTY
ASSISTANT PROFESSOR OF NURSING,1,FACULTY
ASSOCIATE PROFESSOR,9,FACULTY
COLLEGE PROFESSOR,6,FACULTY
EDUCATOR/PROFESSOR,2,FACULTY
FACULTY,2,FACULTY
FACULTY MEMBER,1,FACULTY
HISTORY PROFESSOR,2,FACULTY
LAW PROFESSOR,8,FACULTY
LAW PROFESSOR AT UC HASTINGS,1,FACULTY
MUSIC PROFESSOR,1,FACULTY
PHYSICS PROFESSOR,1,FACULTY
PROF OF HISTORY,1,FACULTY
PROFESSOR,355,FACULTY
PROFESSOR EMERITA,2,FACULTY
PROFESSOR EMERITUS,3,FACULTY
PROFESSOR OF ARCHITECTURE,1,FACULTY
PROFESSOR OF BIOCHEMISTRY,1,FACULTY
PROFESSOR OF CHEMISTRY,2,FACULTY
PROFESSOR OF CLAINICAL PSYCHOLOGY,1,FACULTY
PROFESSOR OF CLINICAL FAMILY & COMMUNI,1,FACULTY
PROFESSOR OF CLINICAL PSYCHIA,1,FACULTY
PROFESSOR OF CLINICAL PSYCHIATRY,1,FACULTY
PROFESSOR OF FINANCE AND ECONOMICS,1,FACULTY
PROFESSOR OF HISTORY,1,FACULTY
PROFESSOR OF LAW,3,FACULTY
PROFESSOR OF MEDICIE,1,FACULTY
PROFESSOR OF MICROBIOLOGY,1,FACULTY
PROFESSOR OF PSYCHOLOGY,1,FACULTY
PROFESSOR- ART HISTORY,1,FACULTY
BIOCHEMIST/PROFESSOR,1,FACULTY
DEAN,3,FACULTY
DEAN EMERITA,1,FACULTY
DEAN/PROFESSOR,1,FACULTY
ACADEMIC DEAN,2,FACULTY
UNIVERSITY PROFESSOR,10,FACULTY
LAND-GRANT FACULTY,1,FACULTY
MEDICAL SCIENTIST/PROFESSOR,1,FACULTY
PROFESSOR - RETIRED,1,FACULTY
PROFESSOR -SEMIRETIRED,1,FACULTY
"PROFESSOR,  SEMI-RETIRED",1,FACULTY
"PROFESSOR, PROVOST",1,FACULTY
"PROFESSOR, PSYCHOLOGIST",1,FACULTY
"PROFESSOR, SCHOLAR",1,FACULTY
PROFESSOR/FILMMAKER,1,FACULTY
PROFESSOR/PRODUCER,1,FACULTY
PROFESSOR/WRITER,1,FACULTY
PROFRSSOR EMERITUS,1,FACULTY
RETIRED ART HISTORY PROFESSOR,1,FACULTY
RETIRED PROFESSOR,3,FACULTY
"RETIRED PROFESSOR, STILL TEACHING",1,FACULTY
SCIENTIST/PROFESSOR,1,FACULTY
RESEARCH PROFESSOR,2,FACULTY
RESEARCH SCIENTIST/PROFESSOR,1,FACULTY
"VICE PRESIDENT, ASSISTANT PROFESSOR",1,FACULTY
VP AND ASSOCIATE DEAN,1,FACULTY
WRITER/PROFESSOR,2,FACULTY
ASSOCIATE DEAN,4,FACULTY
ASSOCIATE DEAN OF ADMISSIONS,1,FACULTY
"ASSOCIATE DEAN, FACULTY",1,FACULTY
ATTORNEY/ADJUNCT PROFESSOR,1,FACULTY
"CHAIR, THEATRE PROGRAM, ASSOCIATE PROF",1,FACULTY
CONTINGENT FACULTY,1,FACULTY
ECONOMIST/PROFESSOR,1,FACULTY
PRESIDENT,2,FACULTY
PROF NGO DIRECTOR,1,FACULTY
ADJUNCT INSTRUCTOR,1,TEACHING
ASSOCIATE INSTRUCTOR,1,TEACHING
COLLEGE TEACHER,1,TEACHING
EDUCATOR,19,TEACHING
INSTRUCTOR,9,TEACHING
LECTURER,11,TEACHING
ACADEMIA TEACHING,1,TEACHING
"ACADEMIA, TEACHING",1,TEACHING
UNIVERSITY TEACHER,1,TEACHING
TEACHING FELLOW,5,TEACHING
TEACHER,28,TEACHING
TEACHER  RETIRED,1,TEACHING
TEACHER - RETIRED,1,TEACHING
SENIOR LECTURER IN GERMAN,2,TEACHING
"SCHOLAR, EDUCATOR, PUBLISHER",1,TEACHING
SOCIAL WORKER/LECTURER NARRATIVE MEDIC,1,TEACHING
SPECIAL LECTURER/RESEARCHER,1,TEACHING
STUDENT AND ADJUNCT INSTRUCTOR,1,TEACHING
UNIVERSITY LECTURER / SOCIAL WORKER,1,TEACHING
"WRITER, TEACHER",1,TEACHING
WRITER/TEACHER/ACTOR,1,TEACHING
WRITING TUTOR,1,TEACHING
COMMUNICATIONS CONSULTANT/TEACHER,1,TEACHING
EDUCATION,5,TEACHING
EDUCATOR/ADMINISTRATOR,1,TEACHING
PROCTOR,1,TEACHING
BASKETBALL COACH,1,TEACHING
ENGLISH EDUCATION SUPERVISOR,1,TEACHING
ACADEMIC ADMIN,1,ADMIN
ACADEMIC ADMINISTRATION,4,ADMIN
ACADEMIC ADMINISTRATOR,2,ADMIN
ADM. ASST.,1,ADMIN
ADMIN,6,ADMIN
ADMIN ASSISTANT,5,ADMIN
ADMIN ASST,2,ADMIN
ADMINISTRATIVE ASST.,1,ADMIN
ADMINISTRATION,5,ADMIN
ADMINISTRATIVE ASSISTANT,14,ADMIN
ADMINISTRATOR,33,ADMIN
ADMINSTRATIVE,1,ADMIN
ADMINSTRATOR,1,ADMIN
COLLEGE ADMINISTRATOR,2,ADMIN
ACADEMIC AFFAIRS,1,ADMIN
RESEARCH ADMINISTRATION,2,ADMIN
RESEARCH ADMINISTRATOR,1,ADMIN
RESEARCH COORDINATOR,4,ADMIN
RESEARCH COORDINATOR/PROJECT OFFICER,1,ADMIN
RESEARCH DIRECTOR,1,ADMIN
RESEARCH EXECUTIVE,1,ADMIN
SENIOR ADMINISTRATIVE COORDINATOR,1,ADMIN
SENIOR ADMINISTRATOR,1,ADMIN
UNIVERSITY ADMINISTRATION,4,ADMIN
UNIVERSITY ADMINISTRATOR,2,ADMIN
ACADEMIC SECRETARY,1,ADMIN
ACCOUNTANT,2,ADMIN
ADMIN RESEARCH COORDINATOR,1,ADMIN
ADMINISTRATIVE ASSOCIATE,1,ADMIN
ADMINISTRATIVE COORDINATOR,2,ADMIN
RESEARCH PROGRAM COORDINATOR,1,ADMIN
SECRETARY,1,ADMIN
SECURITY,1,ADMIN
SECURITY COORDINATOR,1,ADMIN
SENIOR ASST REGISTRAR,1,ADMIN
SENIOR DIRECTOR,1,ADMIN
"SENIOR DIRECTOR, ENTREPRENEURSHIP PROG",1,ADMIN
"SENIOR EXECUTIVE, VICE PRESIDENT",1,ADMIN
STAFF OFFICER OF RESEARCH,1,ADMIN
SR. PROJECT MANAGER,1,ADMIN
STAFF DEVELOPER,2,ADMIN
SUPERINTENDENT OF BUILDINGS,1,ADMIN
TRIO DIRECTOR,1,ADMIN
TRUSTEE,1,ADMIN
UNIV. OFFICER,1,ADMIN
VICE PRESIDENT FOR DEVELOPMENT,1,ADMIN
WRITING CENTER DIRECTOR,1,ADMIN
ARTS ADMINISTRATOR,1,ADMIN
ASSISTANCE DIRECTOR,1,ADMIN
ASSISTANT DEAN,2,ADMIN
ASSISTANT DIRECTOR,3,ADMIN
ASSISTANT DIRECTOR OF EDUCATIONAL FINA,1,ADMIN
"ASSISTANT DIRECTOR,  FINANCE &PAYROLL",1,ADMIN
ASSISTANT GRANTS & CONTRACTS MANAGER,1,ADMIN
ASSISTANT MANAGER,1,ADMIN
ASSOCIATE DIRECTOR,1,ADMIN
"ASSOCIATE DIRECTOR, COMMUNICATIONS",1,ADMIN
ASST. DIRECTOR,2,ADMIN
CLERICAL,1,ADMIN
CLERICAL ASSISTANT,1,ADMIN
CLERICAL WORKER,1,ADMIN
CLERK,2,ADMIN
CONTRACT OFFICER,1,ADMIN
CONTRACTS MANAGER,1,ADMIN
COORDINATOR LANGUAGE RESOURCE LAB,1,ADMIN
COORDINATOR,3,ADMIN
COMMUNICATIONS,3,ADMIN
COMMUNICATIONS & MARKETING,1,ADMIN
COMMUNICATIONS OFFICER,1,ADMIN
DIRECTOR,5,ADMIN
DIRECTOR OF ADMINISTRATION,1,ADMIN
DIRECTOR OF COMMUNICATIONS,2,ADMIN
DIRECTOR OF DIGITAL COMMUNICATIONS,1,ADMIN
DIRECTOR OF EXPERIENTIAL LEARNING & AP,1,ADMIN
DIRECTOR OF PRODUCTION,1,ADMIN
DIRECTOR OF THE CPC,1,ADMIN
DIRECTOR RECRUITING,1,ADMIN
"DIRECTOR, PROGRAM ON PEACE",1,ADMIN
DIRECTORY,1,ADMIN
DIVERSITY PROGRAM MANAGER,1,ADMIN
DOOR ATTENDANT,1,ADMIN
EDUCATION ADMINISTRATION,1,ADMIN
EDUCATION ADMINISTRATOR,2,ADMIN
EDUCATION CONSULTANT,1,ADMIN
EDUCATION MANAGEMENT,1,ADMIN
ENTREPRENEURSHIP PROGRAMMING,1,ADMIN
EVENT PLANNER,1,ADMIN
EXEC ASST,1,ADMIN
EXEC. ASSISTANT,1,ADMIN
EXEC. DIR.,1,ADMIN
EXECT. ASST,1,ADMIN
EXECUTIVE ASSISTANT,2,ADMIN
EXECUTIVE DIRECTOR,3,ADMIN
EXECUTIVE STAFF ASSISTANT,1,ADMIN
EVALUATION SPECIALIST,1,ADMIN
FINANCE,3,ADMIN
FINANCE AND ACCOUNTING,1,ADMIN
FINANCE COORDINATOR,1,ADMIN
FINANCE DIRECTOR,1,ADMIN
FINANCIAL AID,2,ADMIN
FINANCIAL AID OFFICER,2,ADMIN
FINANCIAL ANALYST,5,ADMIN
FINANCIAL COORDINATOR,2,ADMIN
FINANCIAL MANAGEMENT,1,ADMIN
FISCAL OFFICER,1,ADMIN
FUNDRAISER,6,ADMIN
FUNDRAISING,1,ADMIN
FUNDRAISING COORDINATOR,1,ADMIN
GENERAL ASSISTANT,1,ADMIN
GOVERNMENT AFFAIRS,1,ADMIN
GRANT COORDINATOR,1,ADMIN
GRANT MANAGEMENT,1,ADMIN
GRANTS ADMINISTRATOR,1,ADMIN
GRANTS COORDINATOR,1,ADMIN
GRANTS MANAGER,2,ADMIN
GRANTS/CONTRACTS SPECIALIST,1,ADMIN
HEAD START PROGRAM COORDINATOR,1,ADMIN
HEALTHCARE,1,ADMIN
HEALTHCARE ADMINISTRATION,1,ADMIN
HEALTHCARE COMMUNICATIONS,1,ADMIN
HIGHER ED,1,ADMIN
HIGHER ED - ALUMNI RELATIONS,1,ADMIN
HIGHER ED ADMINISTRATION,1,ADMIN
HIGHER ED ADMINISTRATOR,1,ADMIN
HIGHER EDUCATION,1,ADMIN
HIGHER EDUCATION ADMINISTRATOR,1,ADMIN
HIGHER EDUCATION ASSISTANT,1,ADMIN
HIGHER EDUCATION PROFESSIONAL,1,ADMIN
HR MANAGER,1,ADMIN
HUMAN RESOURCES,1,ADMIN
HUMAN RESOURCES DIRECTOR,1,ADMIN
INTERNATIONAL AFFAIRS,1,ADMIN
LICENSURE AND STATE AUTHORIZATION SPEC,1,ADMIN
MANAGEMENT,1,ADMIN
MANAGER,7,ADMIN
"MANAGER, HR",1,ADMIN
MARKETING ASSOCIATE,1,ADMIN
MARKETING PROFESSIONAL,1,ADMIN
LOBBYISY,1,ADMIN
NON-PROFIT MANAGER,1,ADMIN
OFFFICE OPERATIONS MANAGER,1,ADMIN
OFFICE ASSISTANT,3,ADMIN
OFFICE COORDINATOR,1,ADMIN
OFFICE MANAGER,1,ADMIN
OFFICER,1,ADMIN
OFFICER OF ACADEMIC APPOINTMENTS,1,ADMIN
OFFICER OF ADMINISTRATION,1,ADMIN
OPERATIONS ADMINISTRATOR,1,ADMIN
PRINCIPAL GIFT OFFICER,1,ADMIN
PROGRAM ASSISTANT,1,ADMIN
PROGRAM ASSOCIATE,1,ADMIN
PROGRAM COORDINATOR,2,ADMIN
PROGRAM EVALUATION,1,ADMIN
PROGRAM MANAGER,9,ADMIN
PROGRAM OFFICER,1,ADMIN
PROGRAMS COORDINATOR,1,ADMIN
PROJECT DIRECTOR,1,ADMIN
PROJECT MANAGER,8,ADMIN
PROJECT MANGER,1,ADMIN
PUBLIC SAFETY OFFICER,2,ADMIN
COMPUTER PROGRAMMER,4,ADMIN
COMPUTER SYSTEMS MANAGER,1,ADMIN
COMPUTER TECHNICIAN,1,ADMIN
DATABASE ADMINISTRATOR,2,ADMIN
DATABASE DIRECTOR,1,ADMIN
DATABASE TRAINER AND SUPPORT,1,ADMIN
IT,2,ADMIN
IT DIRECTOR,1,ADMIN
IT MNGR,1,ADMIN
IT SECURITY SPECIALIST,1,ADMIN
IT SPECIALIST,1,ADMIN
INFORMATION TECHNOLOGY,2,ADMIN
INFORMATION TECHNOLOGY DIRECTOR,1,ADMIN
NETWORK TECH,1,ADMIN
WEB DEVELOPER,1,ADMIN
WEBMASTER,1,ADMIN
WEBMASTER/DATABASE MANAGER,1,ADMIN
PROGRAMMER,3,ADMIN
PROGRAMMER ANALYST,1,ADMIN
PROGRAMMER/WEB DESIGNER,1,ADMIN
SOFTWARE DEVELOPER,2,ADMIN
SOFTWARE ENGINEER,3,ADMIN
SR SYSTEMS ANALYST,1,ADMIN
TECH,1,ADMIN
TECHNOLOGY MANAGER,1,ADMIN
SYS. ENG,1,ADMIN
SYSTEM ADMINISTRATOR,1,ADMIN
SYSTEM ANALYST,1,ADMIN
SYSTEMS ADMINISTRATOR,2,ADMIN
SYSTEMS ANALYST,1,ADMIN
SYSTEMS ENGINEER,1,ADMIN
SYSTEMS SPECIALIST,1,ADMIN
TELECOM ANALYST,1,ADMIN
WRITER // TECH SUPPORT,1,ADMIN
APPLICATIONS DEVELOPER,1,ADMIN
DIRECTOR IT,1,ADMIN
DIRECTOR OF IT,1,ADMIN
DIRECTOR OF TECHNOLOGY,1,ADMIN
EDUCATIONAL TECHNOLOGIST,1,ADMIN
ONLINE EDUCATION,1,ADMIN
VISUAL ARTIST,1,ADMIN
VIDEOGRAPHER,1,ADMIN
WRITER/ARTIST,1,ADMIN
WRITER/EDITOR,1,ADMIN
WRITER,8,ADMIN
SENIOR FINANCIAL ANALYST,1,ADMIN
SAFETY SPECIALIST,1,ADMIN
SALES MANAGER,1,ADMIN
PRODUCTION DIRECTOR,1,ADMIN
PRODUCTION SOUND,1,ADMIN
PLAYWRIGHT/WRITING CONSULTANT,1,ADMIN
MECHANIC,1,ADMIN
MEDIA ANALYST,1,ADMIN
MEDIA TECHNICIAN,1,ADMIN
MANAGING EDITOR,1,ADMIN
GRAPHIC DESIGNER,4,ADMIN
LAWYER,1,ADMIN
LEGAL ASSISTANT,1,ADMIN
EDITOR,7,ADMIN
DESIGNER,1,ADMIN
DEVELOPMENT,3,ADMIN
COPY EDITOR,1,ADMIN
BLOGGER,1,ADMIN
BOOK DESIGN & PRODUCTION,1,ADMIN
BUSINESS MANAGER,2,ADMIN
BUSINESS PLANNING,1,ADMIN
BUSINESS SUPPORT SPECIALIST II,1,ADMIN
CONSULTANT,2,ADMIN
CONSULTANT ARTS & CULTURE,1,ADMIN
ATTORNEY,12,ADMIN
ASSOCIATE PROVOST,1,ADMIN
ASSISTANT/WRITER,1,ADMIN
ACADEMIC/ATTORNEY,1,ADMIN
CHIEF OF STAFF,2,ADMIN
CONTROLLER,1,ADMIN
CPA,1,ADMIN
ANTHROPOLOGIST,2,ACADEMIA
ANTHROPOLOGOIST,1,ACADEMIA
ASTRONOMER,1,ACADEMIA
BIOCHEMIST,2,ACADEMIA
BIOSTATISTICIAN,1,ACADEMIA
BIOLOGIST,1,ACADEMIA
